//  TRX,STRING,  INT,STRING,#   STRING,     double,   INT,STRING_Ary,STRING_Ary,double_Ary,double_Ary,double_Ary,STRING_Ary,
//RX|TX,mStand,mBand, mPort,#test_Type,input_mVrms,mBurst,     mFreq,     mMode, measPower,      frq1,   BB_freq,mGainReg,
,
TX,APC_4G,11,TX_HB1,
,,,,POWER,141,19,APC,0,8,1442.4e6,4.5e6,0x97af
,,,,,,,APC,1,8,1442.4e6,4.5e6,0x97aa
,,,,,,,APC,2,8,1442.4e6,4.5e6,0x96a2
,,,,,,,APC,3,8,1442.4e6,4.5e6,0x9a9a
,,,,,,,APC,4,8,1442.4e6,4.5e6,0x199a
,,,,,,,APC,5,8,1442.4e6,4.5e6,0x197b
,,,,,,,APC,6,8,1442.4e6,4.5e6,0x1972
,,,,,,,APC,7,8,1442.4e6,4.5e6,0x187a
,,,,,,,APC,8,8,1442.4e6,4.5e6,0x186e
,,,,,,,APC,9,8,1442.4e6,4.5e6,0x186b
,,,,,,,APC,10,8,1442.4e6,4.5e6,0x1866
,,,,,,,APC,11,8,1442.4e6,4.5e6,0x145c
,,,,,,,APC,12,8,1442.4e6,4.5e6,0x1455
,,,,,,,APC,13,8,1442.4e6,4.5e6,0x144c
,,,,,,,APC,14,8,1442.4e6,4.5e6,0x1444
,,,,,,,APC,15,8,1442.4e6,4.5e6,0x143c
,,,,,,,APC,16,8,1442.4e6,4.5e6,0x1434
,,,,,,,APC,17,8,1442.4e6,4.5e6,0x1424
,,,,,,,APC,18,8,1442.4e6,4.5e6,0x1408
TX,APC_4G,1,TX_HB2,
,,,,POWER,141,19,APC,0,8,1954.5e6,4.5e6,0x97af
,,,,,,,APC,1,8,1954.5e6,4.5e6,0x97aa
,,,,,,,APC,2,8,1954.5e6,4.5e6,0x96a2
,,,,,,,APC,3,8,1954.5e6,4.5e6,0x9a9a
,,,,,,,APC,4,8,1954.5e6,4.5e6,0x199a
,,,,,,,APC,5,8,1954.5e6,4.5e6,0x197b
,,,,,,,APC,6,8,1954.5e6,4.5e6,0x1972
,,,,,,,APC,7,8,1954.5e6,4.5e6,0x187a
,,,,,,,APC,8,8,1954.5e6,4.5e6,0x186e
,,,,,,,APC,9,8,1954.5e6,4.5e6,0x186b
,,,,,,,APC,10,8,1954.5e6,4.5e6,0x1866
,,,,,,,APC,11,8,1954.5e6,4.5e6,0x145c
,,,,,,,APC,12,8,1954.5e6,4.5e6,0x1455
,,,,,,,APC,13,8,1954.5e6,4.5e6,0x144c
,,,,,,,APC,14,8,1954.5e6,4.5e6,0x1444
,,,,,,,APC,15,8,1954.5e6,4.5e6,0x143c
,,,,,,,APC,16,8,1954.5e6,4.5e6,0x1434
,,,,,,,APC,17,8,1954.5e6,4.5e6,0x1424
,,,,,,,APC,18,8,1954.5e6,4.5e6,0x1408
TX,APC_4G,28,TX_LB2,
,,,,POWER,141,19,APC,0,8,730e6,4.5e6,0x97ad
,,,,,,,APC,1,8,730e6,4.5e6,0x97ab
,,,,,,,APC,2,8,730e6,4.5e6,0x978a
,,,,,,,APC,3,8,730e6,4.5e6,0x9b8a
,,,,,,,APC,4,8,730e6,4.5e6,0x9762
,,,,,,,APC,5,8,730e6,4.5e6,0x1b62
,,,,,,,APC,6,8,730e6,4.5e6,0x1662
,,,,,,,APC,7,8,730e6,4.5e6,0x156a
,,,,,,,APC,8,8,730e6,4.5e6,0x1562
,,,,,,,APC,9,8,730e6,4.5e6,0x1962
,,,,,,,APC,10,8,730e6,4.5e6,0x186a
,,,,,,,APC,11,8,730e6,4.5e6,0x145c
,,,,,,,APC,12,8,730e6,4.5e6,0x1455
,,,,,,,APC,13,8,730e6,4.5e6,0x144c
,,,,,,,APC,14,8,730e6,4.5e6,0x1444
