//  TRX,  INT,   STRING, STRING,      INT,double,#   STRING,   int, double_Ary, double_Ary,double_Ary,double_Ary,double_Ary,STRING,string
//RX|TX,mBand,port_name,BB_Path,RXPLL_sel,inLoss,#  test_Type, burst,       pow1,       pow2,     freq1,     freq2,  baseband, mType,mGainReg,,
,
RX,11,DRX_HB1,B,2,0
,,,,,,,,IIP3_OB_HDUP_3G-SC,3G-SC,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_3G-DC,3G-DC,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_4G_1.4M,4G-1.4MHz,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_4G_5M,4G-5MHz,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_4G_10M,4G-10MHz,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_4G_15M,4G-15MHz,-30,,1462e6,1437.9e6,0.2,0x8181
,,,,,,,,IIP3_OB_HDUP_4G_20M,4G-20MHz,-30,,1462e6,1437.9e6,0.2,0x8383
,,,,,,,,IIP3_OB_2DUP_3G-SC,3G-SC,-30,,1390e6,1437.9e6,0.1,0x8181
,,,,,,,,IIP3_OB_2DUP_3G-DC,3G-DC,-30,,1390e6,1437.9e6,0.1,0x8181
,,,,,,,,IIP3_OB_2DUP_4G_1.4M,4G-1.4MHz,-30,,1390e6,1437.9e6,0.1,0x8181
,,,,,,,,IIP3_OB_2DUP_4G_5M,4G-5MHz,-30,,1390e6,1437.9e6,0.1,0x8383
,,,,,,,,IIP3_OB_2DUP_4G_10M,4G-10MHz,-30,,1390e6,1437.9e6,0.1,0x8383
,,,,,,,,IIP3_OB_2DUP_4G_15M,4G-15MHz,-30,,1390e6,1437.9e6,0.1,0x8383
,,,,,,,,IIP3_OB_2DUP_4G_20M,4G-20MHz,-30,,1390e6,1437.9e6,0.1,0x8383
