//  TRX,  INT,   STRING, STRING,      INT,double,#   STRING,   int,  string_Ary, string_Ary, double_Ary, double_Ary,double_Ary,double_Ary,double_Ary,string
//RX|TX,mBand,port_name,BB_Path,RXPLL_sel,inLoss,#  test_Type, burst, type,  ifmode,      pow1,       pow2,     freq1,     freq2,  baseband, mGainReg,,
RX,40,RXRF_HB5A,A,1,0
,,,,,,,,VGA_GSTEP_22dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-10
,,,,,,,,VGA_GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-12
,,,,,,GAIN_NOLNA,19,GMAX,2G,-88.0,,2350.1e6,,0.1e6,23,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2350.1e6,,0.1e6,7,12
,,,,,,,,VGA_GSTEP_2dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,VGA_GSTEP_4dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,8
,,,,,,,,VGA_GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,6
,,,,,,,,VGA_GSTEP_8dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,4
,,,,,,,,VGA_GSTEP_10dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,2
,,,,,,,,VGA_GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,0
,,,,,,,,VGA_GSTEP_14dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-2
,,,,,,,,VGA_GSTEP_16dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-4
,,,,,,,,VGA_GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-6
,,,,,,,,VGA_GSTEP_20dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-8
,,,,,,,,VGA_GSTEP_22dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-10
,,,,,,,,VGA_GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-12
,,,,,,IIP,3,IB_IIP3_4G_40MHz,4G_40MHz,-50.0,,2322.4e6,2295.0e6,0.2e6,31,6
,,,,,,,,OOB_IIP3_HDUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,37,6
,,,,,,IIP_NOLNA,3,IB_IIP3_4G_40MHz,4G_40MHz,-50.0,,2322.4e6,2295.0e6,0.2e6,17,6
,,,,,,,,OOB_IIP3_HDUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,23,6
,,,,,,,,OOB_IIP3_2DUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,23,6
,,,,,,NF,3,NF_2G,2G,-70.0,,2350.1e6,,0.1e6,37,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2350.1e6,,0.1e6,37,10
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2350.1e6,,0.1e6,37,10
,,,,,,NF_NOLNA,3,NF_2G,2G,-70.0,,2350.1e6,,0.1e6,23,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2350.1e6,,0.1e6,23,10
