//  TRX,STRING,  INT,STRING,#   STRING,     double,   INT,STRING_Ary,STRING_Ary,double_Ary,double_Ary,double_Ary,STRING_Ary,
//RX|TX,mStand,mBand, mPort,#test_Type,input_mVrms,mBurst,     mFreq,     mMode, measPower,      frq1,   BB_freq,mGainReg,,
TX,4G,2,TXRF_HB1,
,,,,,,,M,Min,-20,1880.96e6,0.96e6,31,16,
,,,,POWER_APC,141,17,M,0dB,8,1880.96e6,0.96e6,0,6
,,,,,,,M,1dB,8,1880.96e6,0.96e6,1,6,
,,,,,,,M,2dB,8,1880.96e6,0.96e6,2,6,
,,,,,,,M,3dB,8,1880.96e6,0.96e6,3,6,
,,,,,,,M,4dB,8,1880.96e6,0.96e6,4,6,
,,,,,,,M,5dB,8,1880.96e6,0.96e6,5,6,
,,,,,,,M,6dB,8,1880.96e6,0.96e6,6,6,
,,,,,,,M,7dB,8,1880.96e6,0.96e6,7,6,
,,,,,,,M,8dB,8,1880.96e6,0.96e6,8,6,
,,,,,,,M,9dB,8,1880.96e6,0.96e6,9,6,
,,,,,,,M,10dB,8,1880.96e6,0.96e6,10,6,
,,,,,,,M,11dB,8,1880.96e6,0.96e6,11,6,
,,,,,,,M,12dB,8,1880.96e6,0.96e6,12,6,
,,,,,,,M,13dB,8,1880.96e6,0.96e6,13,6,
,,,,,,,M,19dB,8,1880.96e6,0.96e6,19,6,
,,,,,,,M,25dB,8,1880.96e6,0.96e6,25,6,
,,,,,,,M,31dB,8,1880.96e6,0.96e6,31,6,
,,,,POWER_APC_8PHASE,141,17,M,0dB,8,1880.96e6,0.96e6,0,6
,,,,,,,M,1dB,8,1880.96e6,0.96e6,1,6,
,,,,,,,M,2dB,8,1880.96e6,0.96e6,2,6,
,,,,,,,M,3dB,8,1880.96e6,0.96e6,3,6,
,,,,,,,M,4dB,8,1880.96e6,0.96e6,4,6,
,,,,,,,M,5dB,8,1880.96e6,0.96e6,5,6,
,,,,,,,M,6dB,8,1880.96e6,0.96e6,6,6,
,,,,,,,M,7dB,8,1880.96e6,0.96e6,7,6,
,,,,,,,M,8dB,8,1880.96e6,0.96e6,8,6,
,,,,,,,M,9dB,8,1880.96e6,0.96e6,9,6,
,,,,,,,M,10dB,8,1880.96e6,0.96e6,10,6,
,,,,,,,M,11dB,8,1880.96e6,0.96e6,11,6,
,,,,,,,M,12dB,8,1880.96e6,0.96e6,12,6,
,,,,,,,M,13dB,8,1880.96e6,0.96e6,13,6,
,,,,,,,M,19dB,8,1880.96e6,0.96e6,19,6,
,,,,,,,M,25dB,8,1880.96e6,0.96e6,25,6,
,,,,,,,M,31dB,8,1880.96e6,0.96e6,31,6,
TX,4G,8,TXRF_LB1,
,,,,ACLR_10MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_15MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_1p4MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_20MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_3MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_5MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_10MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_15MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_1p4MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_20MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_3MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_5MHz_8PHASE,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,HD_8PHASE,141,2,M,Max,8,902.0e6,4.5e6,4,2
,,,,,,,M,Max,8,902.0e6,4.5e6,4,2,
,,,,POWER_8PHASE,141,4,M,Max,8,902.0e6,4.5e6,4,2
,,,,,,,3LO,Max,8,2688.0e6,4.5e6,4,2,
,,,,,,,M,Mid,8,902.0e6,4.5e6,4,6,
,,,,,,,M,Min,-20,902.0e6,4.5e6,31,16,
,,,,POWER_APC_8PHASE,141,16,M,MAX,8,902.0e6,4.5e6,4,1
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,2,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,3,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,4,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,5,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,6,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,7,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,8,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,9,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,10,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,11,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,12,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,13,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,14,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,15,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,16,
TX,4G,7,TXRF_HB3,
,,,,ACLR_10MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,ACLR_15MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,ACLR_1p4MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,ACLR_20MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,ACLR_3MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,ACLR_5MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_10MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_15MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_1p4MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_20MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_3MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,EVM_5MHz_8PHASE,141,1,M,MAX,8,2539.5e6,4.5e6,4,4
,,,,HD_8PHASE,141,2,M,Max,8,2539.5e6,4.5e6,4,2
,,,,,,,M,Max,8,2539.5e6,4.5e6,4,2,
,,,,POWER_8PHASE,141,3,M,Max,8,2539.5e6,4.5e6,4,2
,,,,,,,M,Mid,8,2539.5e6,4.5e6,4,6,
,,,,,,,M,Min,-20,2539.5e6,4.5e6,31,16,
,,,,POWER_APC_8PHASE,141,16,M,MAX,8,2539.5e6,4.5e6,4,1
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,2,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,3,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,4,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,5,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,6,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,7,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,8,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,9,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,10,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,11,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,12,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,13,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,14,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,15,
,,,,,,,M,MAX,8,2539.5e6,4.5e6,4,16,
TX,3G,12,TXRF_LB2,
,,,,ACLR,141,2,M,1dBm,8,708.46e6,0.96e6,4,4
,,,,,,,M,Max,8,708.46e6,0.96e6,4,2,
,,,,ACLR_8PHASE,141,2,M,1dBm,8,708.46e6,0.96e6,4,4
,,,,,,,M,Max,8,708.46e6,0.96e6,4,2,
,,,,EVM,141,1,M,1dBm,8,708.46e6,0.96e6,4,4
,,,,EVM_8PHASE,141,1,M,1dBm,8,708.46e6,0.96e6,4,4
,,,,POWER,141,3,M,Max,8,708.46e6,0.96e6,4,2
,,,,,,,M,Mid,8,708.46e6,0.96e6,4,6,
,,,,,,,M,Min,-20,708.46e6,0.96e6,31,16,
,,,,POWER_8PHASE,141,3,M,Max,8,708.46e6,0.96e6,4,2
,,,,,,,M,Mid,8,708.46e6,0.96e6,4,6,
,,,,,,,M,Min,-20,708.46e6,0.96e6,31,16,
TX,2G,8,TXRF_LB2,
,,,,EVM,180,1,M,MAX,8,897.6e6,0.1e6,6,4
,,,,HD,282,2,M,Max,8,897.6e6,0.1e6,4,2
,,,,,,,M,Max,8,897.6e6,0.1e6,4,2,
,,,,PE,282,1,M,MAX,8,897.6e6,0.1e6,4,2
,,,,POWER,282,4,M,Max,8,897.6e6,0.1e6,4,2
,,,,,,,3LO,Max,8,2692.4e6,0.1e6,4,2,
,,,,,,,M,Min,-20,897.6e6,0.1e6,6,7_8,
,,,,,,,M,2dBm,8,897.6e6,0.1e6,6,4,
TX,2G,2,TXRF_HB1,
,,,,EVM,180,1,M,MAX,8,1880.1e6,0.1e6,6,4
,,,,HD,282,2,M,Max,8,1880.1e6,0.1e6,4,2
,,,,,,,M,Max,8,1880.1e6,0.1e6,4,2,
,,,,PE,282,1,M,MAX,8,1880.1e6,0.1e6,4,2
,,,,POWER,282,4,M,Max,8,1880.1e6,0.1e6,4,2
,,,,,,,3LO,Max,8,5639.9e6,0.1e6,4,2,
,,,,,,,M,Min,-20,1880.1e6,0.1e6,6,7_8,
,,,,,,,M,2dBm,8,1880.1e6,0.1e6,6,4,
TX,3G,11,TXRF_HB2,
,,,,ACLR,141,2,M,1dBm,8,1438.86e6,0.96e6,4,4
,,,,,,,M,Max,8,1438.86e6,0.96e6,4,2,
,,,,ACLR_8PHASE,141,2,M,1dBm,8,1438.86e6,0.96e6,4,4
,,,,,,,M,Max,8,1438.86e6,0.96e6,4,2,
,,,,EVM,141,1,M,1dBm,8,1438.86e6,0.96e6,4,4
,,,,EVM_8PHASE,141,1,M,1dBm,8,1438.86e6,0.96e6,4,4
,,,,POWER,141,3,M,Max,8,1438.86e6,0.96e6,4,2
,,,,,,,M,Mid,8,1438.86e6,0.96e6,4,6,
,,,,,,,M,Min,-20,1438.86e6,0.96e6,31,16,
,,,,POWER_8PHASE,141,3,M,Max,8,1438.86e6,0.96e6,4,2
,,,,,,,M,Mid,8,1438.86e6,0.96e6,4,6,
,,,,,,,M,Min,-20,1438.86e6,0.96e6,31,16,
TX,2G,5,TXRF_LB1,
,,,,EVM,180,1,M,MAX,8,836.6e6,0.1e6,6,4
,,,,HD,282,2,M,Max,8,836.6e6,0.1e6,4,2
,,,,,,,M,Max,8,836.6e6,0.1e6,4,2,
,,,,PE,282,1,M,MAX,8,836.6e6,0.1e6,4,2
,,,,POWER,282,4,M,Max,8,836.6e6,0.1e6,4,2
,,,,,,,3LO,Max,8,2509.4e6,0.1e6,4,2,
,,,,,,,M,Min,-20,836.6e6,0.1e6,6,7_8,
,,,,,,,M,2dBm,8,836.6e6,0.1e6,6,4,
TX,3G,8,TXRF_LB1,
,,,,ACLR_8PHASE,141,2,M,1dBm,8,898.46e6,0.96e6,4,4
,,,,,,,M,Max,8,898.46e6,0.96e6,4,2,
,,,,EVM_8PHASE,141,1,M,1dBm,8,898.46e6,0.96e6,4,4
,,,,POWER_8PHASE,141,3,M,Max,8,898.46e6,0.96e6,4,2
,,,,,,,M,Mid,8,898.46e6,0.96e6,4,6,
,,,,,,,M,Min,-20,898.46e6,0.96e6,31,16,
,,,,POWER_APC_8PHASE,141,17,M,0dB,8,898.46e6,0.96e6,0,6
,,,,,,,M,1dB,8,898.46e6,0.96e6,1,6,
,,,,,,,M,2dB,8,898.46e6,0.96e6,2,6,
,,,,,,,M,3dB,8,898.46e6,0.96e6,3,6,
,,,,,,,M,4dB,8,898.46e6,0.96e6,4,6,
,,,,,,,M,5dB,8,898.46e6,0.96e6,5,6,
,,,,,,,M,6dB,8,898.46e6,0.96e6,6,6,
,,,,,,,M,7dB,8,898.46e6,0.96e6,7,6,
,,,,,,,M,8dB,8,898.46e6,0.96e6,8,6,
,,,,,,,M,9dB,8,898.46e6,0.96e6,9,6,
,,,,,,,M,10dB,8,898.46e6,0.96e6,10,6,
,,,,,,,M,11dB,8,898.46e6,0.96e6,11,6,
,,,,,,,M,12dB,8,898.46e6,0.96e6,12,6,
,,,,,,,M,13dB,8,898.46e6,0.96e6,13,6,
,,,,,,,M,19dB,8,898.46e6,0.96e6,19,6,
,,,,,,,M,25dB,8,898.46e6,0.96e6,25,6,
,,,,,,,M,31dB,8,898.46e6,0.96e6,31,6,
TX,3G,7,TXRF_HB3,
,,,,ACLR,141,2,M,1dBm,8,2535.96e6,0.96e6,4,4
,,,,,,,M,Max,8,2535.96e6,0.96e6,4,2,
,,,,ACLR_8PHASE,141,2,M,1dBm,8,2535.96e6,0.96e6,4,4
,,,,,,,M,Max,8,2535.96e6,0.96e6,4,2,
,,,,EVM,141,1,M,1dBm,8,2535.96e6,0.96e6,4,4
,,,,EVM_8PHASE,141,1,M,1dBm,8,2535.96e6,0.96e6,4,4
,,,,POWER,141,3,M,Max,8,2535.96e6,0.96e6,4,2
,,,,,,,M,Mid,8,2535.96e6,0.96e6,4,6,
,,,,,,,M,Min,-20,2535.96e6,0.96e6,31,16,
,,,,POWER_8PHASE,141,3,M,Max,8,2535.96e6,0.96e6,4,2
,,,,,,,M,Mid,8,2535.96e6,0.96e6,4,6,
,,,,,,,M,Min,-20,2535.96e6,0.96e6,31,16,
,,,,POWER_APC_8PHASE,141,17,M,0dB,8,2535.96e6,0.96e6,0,6
,,,,,,,M,1dB,8,2535.96e6,0.96e6,1,6,
,,,,,,,M,2dB,8,2535.96e6,0.96e6,2,6,
,,,,,,,M,3dB,8,2535.96e6,0.96e6,3,6,
,,,,,,,M,4dB,8,2535.96e6,0.96e6,4,6,
,,,,,,,M,5dB,8,2535.96e6,0.96e6,5,6,
,,,,,,,M,6dB,8,2535.96e6,0.96e6,6,6,
,,,,,,,M,7dB,8,2535.96e6,0.96e6,7,6,
,,,,,,,M,8dB,8,2535.96e6,0.96e6,8,6,
,,,,,,,M,9dB,8,2535.96e6,0.96e6,9,6,
,,,,,,,M,10dB,8,2535.96e6,0.96e6,10,6,
,,,,,,,M,11dB,8,2535.96e6,0.96e6,11,6,
,,,,,,,M,12dB,8,2535.96e6,0.96e6,12,6,
,,,,,,,M,13dB,8,2535.96e6,0.96e6,13,6,
,,,,,,,M,19dB,8,2535.96e6,0.96e6,19,6,
,,,,,,,M,25dB,8,2535.96e6,0.96e6,25,6,
,,,,,,,M,31dB,8,2535.96e6,0.96e6,31,6,
TX,4G,8,TXRF_LB2,
,,,,ACLR_10MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_15MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_1p4MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_20MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_3MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,ACLR_5MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_10MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_15MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_1p4MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_20MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_3MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,EVM_5MHz,141,1,M,MAX,8,902.0e6,4.5e6,4,4
,,,,HD,141,2,M,Max,8,902.0e6,4.5e6,4,2
,,,,,,,M,Max,8,902.0e6,4.5e6,4,2,
,,,,POWER,141,4,M,Max,8,902.0e6,4.5e6,4,2
,,,,,,,3LO,Max,8,2688.0e6,4.5e6,4,2,
,,,,,,,M,Mid,8,902.0e6,4.5e6,4,6,
,,,,,,,M,Min,-20,902.0e6,4.5e6,31,16,
,,,,POWER_APC,141,16,M,MAX,8,902.0e6,4.5e6,4,1
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,2,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,3,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,4,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,5,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,6,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,7,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,8,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,9,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,10,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,11,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,12,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,13,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,14,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,15,
,,,,,,,M,MAX,8,902.0e6,4.5e6,4,16,
TX,3G,8,TXRF_LB2,
,,,,ACLR,141,2,M,1dBm,8,898.46e6,0.96e6,4,4
,,,,,,,M,Max,8,898.46e6,0.96e6,4,2,
,,,,EVM,141,1,M,1dBm,8,898.46e6,0.96e6,4,4
,,,,POWER,141,3,M,Max,8,898.46e6,0.96e6,4,2
,,,,,,,M,Mid,8,898.46e6,0.96e6,4,6,
,,,,,,,M,Min,-20,898.46e6,0.96e6,31,16,
,,,,POWER_APC,141,17,M,0dB,8,898.46e6,0.96e6,0,6
,,,,,,,M,1dB,8,898.46e6,0.96e6,1,6,
,,,,,,,M,2dB,8,898.46e6,0.96e6,2,6,
,,,,,,,M,3dB,8,898.46e6,0.96e6,3,6,
,,,,,,,M,4dB,8,898.46e6,0.96e6,4,6,
,,,,,,,M,5dB,8,898.46e6,0.96e6,5,6,
,,,,,,,M,6dB,8,898.46e6,0.96e6,6,6,
,,,,,,,M,7dB,8,898.46e6,0.96e6,7,6,
,,,,,,,M,8dB,8,898.46e6,0.96e6,8,6,
,,,,,,,M,9dB,8,898.46e6,0.96e6,9,6,
,,,,,,,M,10dB,8,898.46e6,0.96e6,10,6,
,,,,,,,M,11dB,8,898.46e6,0.96e6,11,6,
,,,,,,,M,12dB,8,898.46e6,0.96e6,12,6,
,,,,,,,M,13dB,8,898.46e6,0.96e6,13,6,
,,,,,,,M,19dB,8,898.46e6,0.96e6,19,6,
,,,,,,,M,25dB,8,898.46e6,0.96e6,25,6,
,,,,,,,M,31dB,8,898.46e6,0.96e6,31,6,
TX,4G,12,TXRF_LB2,
,,,,ACLR_10MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_10MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_15MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_15MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_1p4MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_1p4MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_20MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_20MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_3MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_3MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_5MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,ACLR_5MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_10MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_10MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_15MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_15MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_1p4MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_1p4MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_20MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_20MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_3MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_3MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_5MHz,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,EVM_5MHz_8PHASE,141,1,M,MAX,8,712.0e6,4.5e6,4,4
,,,,HD,141,2,M,Max,8,712.0e6,4.5e6,4,2
,,,,,,,M,Max,8,712.0e6,4.5e6,4,2,
,,,,HD_8PHASE,141,2,M,Max,8,712.0e6,4.5e6,4,2
